Datetime,username,tweets,emotions
5/6/2021,aisytheweird,i just starting to stay home instead of menyewa luar  today he decided to ask me kenapa along nampk penat sangat hari  cuba tengok abang adik tu semangat je if only he knows how  ive been like this since day  i work as a nurse  im always like this,happy
5/6/2021,AvisMalaysia,although we cannot travel right now but thinking about travel can make us happy and give our brain a boost  watch  this  throwback  road trip to  putrajaya  bukit  tinggi and   stay home  stay safe  full version click here ,happy
5/6/2021,UUMLawSoc,the law lexicon episode   dear all  if it is not necessary please stay at home  we flattened the curve once we can do it again together  another day another terms in our  law  lexicon  on this episode the terms would be    ,happy
5/6/2021,arryNmamak,stay safe its better to be at home with the family playing congkak,happy
5/6/2021,irtaza_ik,happy  saturday  everyone  please  stay  home kongposh saffroncottage saturday saturdayvibes weekend irtazabilal saffroncottage genuinesaffron live love laugh laughoutloud livehappywithsaffron livehealthy ,happy
5/6/2021,srikumbhakarna,order your favourite food by staying at home and do take care of your health  enjoy this weekend with some special taste kumbhakarna serves  hygienic  our delivery partners  foodpanda delivero myfood grabfood  stay safe  stay healthy  stay strong  singapore foodie ,happy
5/6/2021,RRAAMalaysia,after circumcision girls stay at home for one week and then receive presents  it is also thought to bring happiness to family members,happy
5/6/2021,FatihahAbllah,hi guys we would like to launch our special home delivery service soon so stay tuned for our upcoming services  dont forget to follow and like our page  ,happy
5/6/2021,Maxsterism,my neighbourhood snackkueh seller  were still open tomorrow ya but closed on  monday me  oh okay thanks for letting me know seller  ya la now  mco and long weekend what else is there to do but eat when you stay at home  me ,happy
5/6/2021,Jj78041492,pkp we cant plan anything just stay home stay safe,happy
5/6/2021,iStoreByCZone,stay  home  safe   fit with  fitbit   free  delivery included   shop  online        shopee    more info  here   ,happy
5/6/2021,czone,stay  home  safe   fit with  fitbit   free  delivery included   shop  online         shopee    more info  here   ,happy
5/6/2021,bekam_senawang,keep calm and stay home  mistakes  pressures are inevitable the secret to getting past them is to stay calm staysafe stayhome fightcovid spabekamarrayyan ,happy
5/6/2021,vincentyow,fmco promotion      stay  home  stay  safe       valid till  tea puertea puer chinesetea ripetea        promotion free ,happy
5/6/2021,DaliaFeldheim,love this  i was lucky to do one day work from home for from   it was the single most productive strategy as a working mum flexibility is here to stay those who dont get it may not brilliant as always ,happy
5/6/2021,MC16band,happy weekend everyone  risen  from  the  grave drum cam during live in  stadium  negara  kl is out now  spread the fucking words  stay  safe  stay  home   stay  metal ,happy
5/6/2021,Melluvchai,tanniah semua  nafas cinta kolaborasi  berjaya menjadi juara carta pujaan  minggu ini  teruskan meng undi untuk minggu seterusnya u guys are the best  stay safe n stay at home ,happy
5/6/2021,EleLiveTV,  stay home stay safe stay alive at  elelive   powerbank ,happy
5/6/2021,assamhouse,please stay at home and spend a good time with your family the simplest day feels like a magnificent view   wish you all a  happy weekend and stay safe at home halalfood  perakexcellence bestintheworld takeaway stayhome staysafe ,happy
5/6/2021,hwamlaw,for any inquiries kindly contact us via email hwam reach us via phone at     in the meantime stay safe stay home  get vaccinated hwamlaw hwamlegal hwam hwamsb hwamfamily lawfirmmalaysia malaysialockdown lockdown days covid ,happy
